epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1016.81,1.44265,2.49837,1.42084,0.33151,0.05473,0.08849,0.04733,1.02593,34.7153,1.06933,0.000656566,0.000656566,0.000656566
2,1873.49,1.53616,2.16549,1.47831,0.17609,0.28358,0.14049,0.05447,1.37341,81.7659,1.41284,0.0013145,0.0013145,0.0013145
3,2624,1.60507,2.098,1.56835,0.17792,0.24378,0.10845,0.05289,1.4875,97.8584,1.57006,0.00196363,0.00196363,0.00196363
4,3361.07,1.63595,2.04805,1.56136,0.12865,0.22388,0.08125,0.03391,1.43332,29.6128,1.40339,0.0019604,0.0019604,0.0019604
5,4167.12,1.58578,1.90504,1.53067,0.45821,0.42078,0.39119,0.18858,1.32286,25.5474,1.2962,0.0019472,0.0019472,0.0019472
6,4916.88,1.54855,1.85933,1.50426,0.45369,0.42786,0.32917,0.15201,1.34566,55.2635,1.31072,0.001934,0.001934,0.001934
7,5589.88,1.51272,1.78666,1.47481,0.49586,0.54726,0.45784,0.23756,1.19382,28.9724,1.1666,0.0019208,0.0019208,0.0019208
8,6257.24,1.50848,1.7046,1.46912,0.47096,0.33831,0.35123,0.16825,1.34863,9.29109,1.28949,0.0019076,0.0019076,0.0019076
9,6903.52,1.48697,1.68035,1.45963,0.45706,0.43284,0.40388,0.21733,1.24222,5.76002,1.22512,0.0018944,0.0018944,0.0018944
10,7556.82,1.44147,1.63033,1.44178,0.44193,0.48066,0.40283,0.21762,1.1465,26.8467,1.10829,0.0018812,0.0018812,0.0018812
11,8194.67,1.4406,1.60655,1.41658,0.52479,0.43781,0.4215,0.21216,1.22791,34.5666,1.23233,0.001868,0.001868,0.001868
12,8842.41,1.41822,1.55074,1.41372,0.48194,0.51837,0.44593,0.2312,1.21145,18.7713,1.15222,0.0018548,0.0018548,0.0018548
13,9473.4,1.39339,1.46757,1.37859,0.49887,0.49254,0.44215,0.23449,1.1818,22.3789,1.13077,0.0018416,0.0018416,0.0018416
14,10106.2,1.39614,1.49397,1.38788,0.52913,0.56467,0.50025,0.2575,1.14583,20.8765,1.12392,0.0018284,0.0018284,0.0018284
15,10752.8,1.3854,1.44156,1.38783,0.40439,0.47761,0.39874,0.20781,1.23082,29.9969,1.22178,0.0018152,0.0018152,0.0018152
16,11409.7,1.33003,1.42073,1.35368,0.51572,0.50332,0.50528,0.28143,1.08721,35.5048,1.10757,0.001802,0.001802,0.001802
17,12053.2,1.35935,1.47597,1.37666,0.46716,0.49254,0.43882,0.21742,1.20325,13.6028,1.15466,0.0017888,0.0017888,0.0017888
18,12704,1.34426,1.38436,1.35243,0.54256,0.57828,0.51016,0.27267,1.15777,31.6613,1.13115,0.0017756,0.0017756,0.0017756
19,13374.2,1.33599,1.36962,1.34601,0.54417,0.51741,0.48392,0.26348,1.13788,26.8085,1.12568,0.0017624,0.0017624,0.0017624
20,14044.3,1.3122,1.34109,1.33724,0.52721,0.59204,0.56896,0.26913,1.22859,16.1409,1.17265,0.0017492,0.0017492,0.0017492
21,14711.8,1.31553,1.31231,1.33121,0.50603,0.56716,0.50114,0.27644,1.12153,11.0297,1.11809,0.001736,0.001736,0.001736
22,15393.6,1.31683,1.30502,1.32499,0.60002,0.51499,0.52417,0.28759,1.12187,20.1839,1.1168,0.0017228,0.0017228,0.0017228
