epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.727,1.45891,1.83767,1.3353,0.58974,0.54229,0.52542,0.26223,1.54848,2.6711,1.43869,0.000651852,0.000651852,0.000651852
2,479.559,1.54311,1.55662,1.38076,0.33341,0.39303,0.27552,0.11455,1.8963,4.47449,1.72036,0.00129241,0.00129241,0.00129241
3,729.056,1.57954,1.60555,1.39885,0.03181,0.1194,0.01528,0.00538,2.55905,18.0813,2.88622,0.00190657,0.00190657,0.00190657
4,934.218,1.60786,1.53342,1.4104,0.1043,0.39303,0.07676,0.03594,1.8217,4.18494,1.56419,0.0018812,0.0018812,0.0018812
5,1147.55,1.54906,1.5019,1.39492,0.35888,0.35821,0.30523,0.1599,1.79907,2.62848,1.61285,0.0018416,0.0018416,0.0018416
6,1377.24,1.52209,1.43182,1.36417,0.49313,0.35821,0.35896,0.17129,1.92449,2.20667,1.63118,0.001802,0.001802,0.001802
7,1596.58,1.50863,1.42438,1.35793,0.50941,0.54229,0.49221,0.23694,1.77048,1.85567,1.51746,0.0017624,0.0017624,0.0017624
8,1839.35,1.47965,1.38299,1.32296,0.53645,0.58728,0.5596,0.28622,1.6246,1.86144,1.36387,0.0017228,0.0017228,0.0017228
9,2054.89,1.48216,1.37129,1.33766,0.49761,0.50249,0.48471,0.2493,1.7089,1.8376,1.45098,0.0016832,0.0016832,0.0016832
10,2291.99,1.45897,1.35282,1.32874,0.51572,0.53731,0.55977,0.28747,1.60287,1.55542,1.41722,0.0016436,0.0016436,0.0016436
11,2858.08,1.3952,1.23582,1.27684,0.60946,0.59204,0.5676,0.30392,1.62379,1.49872,1.41959,0.001604,0.001604,0.001604
12,3236.13,1.36855,1.23988,1.28013,0.71628,0.48756,0.58727,0.31381,1.60277,1.49053,1.42059,0.0015644,0.0015644,0.0015644
13,3478.14,1.36123,1.21233,1.26274,0.62208,0.63682,0.62318,0.3354,1.6165,1.41211,1.36353,0.0015248,0.0015248,0.0015248
14,3697.91,1.34831,1.15891,1.24961,0.63475,0.53731,0.58872,0.30852,1.5943,1.54907,1.37759,0.0014852,0.0014852,0.0014852
15,3925.24,1.30101,1.13525,1.23609,0.57264,0.60697,0.59398,0.32973,1.62028,1.43487,1.38775,0.0014456,0.0014456,0.0014456
16,4148.06,1.31871,1.13964,1.23566,0.66372,0.66169,0.66288,0.35128,1.59379,1.28348,1.38587,0.001406,0.001406,0.001406
17,4362.77,1.29217,1.07867,1.20983,0.69535,0.63592,0.65751,0.36289,1.57285,1.32624,1.37019,0.0013664,0.0013664,0.0013664
18,4592,1.25013,1.04528,1.19198,0.64045,0.64179,0.62982,0.36178,1.50167,1.28811,1.36203,0.0013268,0.0013268,0.0013268
19,4813.59,1.26933,1.04347,1.20765,0.58612,0.61297,0.61801,0.35323,1.51994,1.3434,1.33765,0.0012872,0.0012872,0.0012872
20,5038.39,1.26522,1.05447,1.21325,0.68422,0.50249,0.58515,0.32649,1.57612,1.47836,1.35063,0.0012476,0.0012476,0.0012476
21,5271.13,1.22501,1.04762,1.20825,0.60619,0.67394,0.65319,0.37392,1.50302,1.31413,1.30061,0.001208,0.001208,0.001208
22,5489.3,1.21184,0.9732,1.17251,0.64682,0.67662,0.7033,0.40978,1.47837,1.18507,1.30268,0.0011684,0.0011684,0.0011684
23,5744.07,1.20818,0.97879,1.16966,0.70774,0.63854,0.66683,0.37948,1.49452,1.22458,1.31405,0.0011288,0.0011288,0.0011288
24,5994.49,1.20782,0.95914,1.17302,0.68212,0.62189,0.68978,0.41763,1.42321,1.14221,1.28103,0.0010892,0.0010892,0.0010892
25,6231,1.18467,0.9443,1.1546,0.65784,0.62687,0.65028,0.38727,1.4596,1.18608,1.30518,0.0010496,0.0010496,0.0010496
26,6463.05,1.15633,0.92643,1.16338,0.67369,0.63684,0.67712,0.39153,1.48747,1.18899,1.34767,0.00101,0.00101,0.00101
27,6660.46,1.17587,0.93808,1.15533,0.64224,0.63411,0.63816,0.35746,1.61889,1.23137,1.38931,0.0009704,0.0009704,0.0009704
28,6880.49,1.1299,0.87918,1.13437,0.64975,0.64606,0.66912,0.38525,1.46869,1.18109,1.30463,0.0009308,0.0009308,0.0009308
29,7103.93,1.10479,0.86244,1.11716,0.64646,0.65174,0.64536,0.38532,1.49612,1.25223,1.29501,0.0008912,0.0008912,0.0008912
30,7313.61,1.10946,0.85267,1.12693,0.61927,0.70149,0.68473,0.41058,1.47509,1.15938,1.30049,0.0008516,0.0008516,0.0008516
31,7505.19,1.09317,0.84706,1.11082,0.7042,0.66667,0.69422,0.41723,1.47654,1.12752,1.29698,0.000812,0.000812,0.000812
32,7692.37,1.10412,0.81911,1.10792,0.71293,0.62687,0.68478,0.42196,1.43166,1.12663,1.26982,0.0007724,0.0007724,0.0007724
33,7882.07,1.08357,0.81198,1.12027,0.70165,0.66169,0.68508,0.42295,1.44821,1.09705,1.28868,0.0007328,0.0007328,0.0007328
34,8077.43,1.04577,0.78847,1.09528,0.72653,0.67662,0.71904,0.43325,1.43116,1.08667,1.28383,0.0006932,0.0006932,0.0006932
35,8353.33,1.04806,0.75732,1.0935,0.67769,0.71133,0.71984,0.44562,1.4096,1.06793,1.25608,0.0006536,0.0006536,0.0006536
36,8573.8,1.04521,0.76161,1.08134,0.76311,0.60697,0.69424,0.42127,1.40025,1.14041,1.24293,0.000614,0.000614,0.000614
37,8810.19,1.01309,0.74552,1.08068,0.64629,0.71144,0.69891,0.41435,1.43045,1.09294,1.28259,0.0005744,0.0005744,0.0005744
38,12381.5,1.00093,0.74799,1.05686,0.69534,0.66667,0.69554,0.42787,1.41947,1.11634,1.26933,0.0005348,0.0005348,0.0005348
39,12586.2,1.01095,0.72598,1.06513,0.70386,0.66169,0.69531,0.43657,1.42632,1.12724,1.27236,0.0004952,0.0004952,0.0004952
40,12790.5,1.00313,0.70629,1.06256,0.70454,0.69652,0.71703,0.42291,1.47823,1.14114,1.3203,0.0004556,0.0004556,0.0004556
41,12997.5,0.96501,0.6733,1.04511,0.6866,0.64179,0.68549,0.42107,1.44618,1.14125,1.28475,0.000416,0.000416,0.000416
42,13201.2,0.94472,0.62017,1.03446,0.66738,0.70876,0.69341,0.43582,1.43197,1.12496,1.27701,0.0003764,0.0003764,0.0003764
43,13403.8,0.91507,0.59344,1.00979,0.7025,0.67662,0.69466,0.42694,1.41196,1.12162,1.2642,0.0003368,0.0003368,0.0003368
44,13606.5,0.8917,0.57197,0.99678,0.75184,0.67164,0.70974,0.42222,1.44302,1.09065,1.31171,0.0002972,0.0002972,0.0002972
45,13814.8,0.90025,0.55617,1.00141,0.72041,0.68657,0.7115,0.44029,1.40018,1.1013,1.26566,0.0002576,0.0002576,0.0002576
46,14022.7,0.87354,0.55119,0.99496,0.70952,0.65672,0.68858,0.42292,1.43664,1.12558,1.29329,0.000218,0.000218,0.000218
47,14228.8,0.85838,0.53441,0.98802,0.73745,0.68475,0.70078,0.43652,1.4078,1.08942,1.29034,0.0001784,0.0001784,0.0001784
48,14428.1,0.84941,0.52748,0.98359,0.74094,0.68657,0.708,0.43463,1.437,1.11179,1.29786,0.0001388,0.0001388,0.0001388
49,14714.5,0.83832,0.52636,0.98369,0.72663,0.68159,0.70743,0.43304,1.42653,1.11652,1.28328,9.92e-05,9.92e-05,9.92e-05
50,15123.8,0.81422,0.50958,0.96592,0.71422,0.68386,0.70326,0.43322,1.41101,1.1028,1.28121,5.96e-05,5.96e-05,5.96e-05
